date,text
1785-01-23,[ ] very Cold. at home.
1785-01-24,"[ ] morn g , cloudy aftern [ ]. I was at home all Day. hannah [w ]."
1785-01-25,A very Rainy Day. we Baked a [B ] Isaac Savage. I was at home all Day.
1785-01-26,"A clear, pleasant Day. I was at home [ ]. Hannah went to mr Ingerhams with [ ] Hannah Crage & Tarried at Crages all night."
1785-01-27,"A clear col d morn g , aftern n Cloudy [ ]. made mince pies. up late to take [t ]."
1785-01-28,"A clear pleasant Day, y e Evening [ ]. I helpt Hannah Barton do the kitchin work. at Home all Day. Drest John Forbys fingers."
1785-01-29,A Snow [Fell]. I was at home. mr Ballard returnd from westward.
1785-01-30,"[ ] Clear, Cold Day. at home [ ]."
1785-01-31,[ ] went to mr Westons [ ].
1785-02-01,[ ] Snowd aftrn. at home. [ ] had 34 lb [ ].
1785-02-02,[ ] I was at home all day. [ ].
1785-02-03,[ ] Cold Day. Capt Savage [ ] [ ] unwell. at home
1785-02-04,[ ] pleas t Day. at home [ ]. Jon a here & Dind with us.
1785-02-05,"] [ ] was unwell in y e foren n . [ ] Dind here. I was calld at 11 oclok to mr Tolmans, a fatagueing Ride; accompanied by [ ] Tolman to the Fort,from thence by Asa Williams. found mrs Tolman Deliv d of a fine son, but before I left, put her to Bed Safely [ ]."
1785-02-06,[ ] Cold Day. Returnd from Tolmans attended by mr Ingerham who Dind with us.
1785-02-07,"[ ]elect gentlem n here, we [ ] all Day [ ]."
1785-02-08,"A fine Day, Cloudy Evn g , wind at [ ]. Old Lady Boltn, mrs Forbes & Peggy Dind here. I was at home all Day."
1785-02-09,"Cloudy Morn, very pleasant after n . Selectmen Colo l North & Lady, Capt Cox & Lady & mrs H. Cox here at Even g . I had ye Collic, Got Relief a Little af t one in ye morn; Rested Some this [ ]."
1785-02-10,A very fine mor n . Snowd after n . I was very unwell all Day & night with my Collick Disorder.
1785-02-11,"A Chilly air, not very Cold. mr & mrs Weston here. Augustus Ballard Came for Salv for his toe, frose; tarries tonight. I am Some more Comfortable."
1785-02-12,"A Cloudy forenoon, Cold, Snow Storm aft n & Even g . Agust s Ballard here. I made Burn Salve, 5 lb."
1785-02-13,"Sunday. A Cold Day. it Snowd, wind at NE. Eph m Cowen unwell. I was at home all Day."
1785-02-14,A Clear Day. mr Weston & Lady here.[ ] I was at home all this Day.
1785-02-15,A Clear Day. at home. Hannah went to mr Westons at Even g . mr Ballard Got hand irons [ ].
1785-02-16,A Snow fell. I was at home all day. mr Forbes made a coat [ ] for mr Ballard.
1785-02-17,[ ]. mr Ben n Brown & wife here. August s Ballard went from here. I finisht Cyrus Stockins. at home.
1785-02-18,A clear Day. I was unwell all Day. was calld to Nathan Tilars at 11 at Eving.
1785-02-19,"At N. Tilars. Clear Day, Snowd at night."
1785-02-20,"Sund. a fine Day, my Birth Day; fifty [years] old. was at Tilars, Mrs Tilar unwell."
1785-02-21,At Tilars. A snowy Day. feel unwell. Ruth Moore helpt mrs Tilar Do her work.
1785-02-22,"Birth, Floid child, Dafter X. Mr Benm n Branard Conducted me from Tilars To mr Floids. I put mrs Fl d to Bed with a Dafter at 9 oClok Even g . fee Recivd."
1785-02-23,"Cloudy. Came from Floids about Day Br k , Left her Comfortable. Received my fee. mr Floid Breakfasted here. Cyrus & Hannah Set out for Sebastac k . I Slept ye afternorne, feele Better. moon full this D y 11 h 1 m aftern."
1785-02-24,"Clear & pleas t . mrs Foster here mend g my quilt. I Bakt & Brewd, am much Better as to health than I have Been this 2 months. Hannah & Cyrus Gone to Mr Towns."
1785-02-25,A Snow Storm. Crage & Cowen Swingled Flax. I Tried my hogs Lard & partly made my pockits. Cyrus & Hannah not returnd.
1785-02-26,"Snowd in ye morn, Clear ye middle of ye Day, and Cold. I did house work."
1785-02-27,Sunday. A Clear Day. Cyrus & Hannah Gone yett.
1785-02-28,Clear. Cyrus & Hannah Returnd. Lucy & her youngs Child came with them.
1785-03-01,Clear. Cyrus went home with mr Bullins Sleigh. Brought News of mr PresCoths hous being Burnt.
1785-03-02,"X Birth. Bolt n child, a Daft r . Clear. Presc t to Breakfast here. I was Calld to Savage Boltons, Put his wife to Bed with a Dafter at 5 h after n . Came home at Evin g . mrs Williams & mrs Foster have bin here. James Cowan & Biah Town tarrie here y s Night."
1785-03-03,Clear. Cate Coole here. Lucy & Hannah went to mr Crages. mr Bullin Left his Sleigh here.
1785-03-04,"Clear. Jon a , Lucy & I went to mr Bullins. Jon a & Lucy went as far as M c Causlands. Mr Bullin & Jesse Supt here. mrs Bolton & mr Chamberlin [left here]."
1785-03-07,"Clear Morn. mrs Wing, Suelle & Gersh m Cox came here, Dind & Drank Tea. Poll Savage to Tea. Isaac Savage Dind. it Began to Snow at 1 oClok. Lucy & hannah went to Brookss, Dolly to Esq r Howards."
1785-04-04,A Storm of Snow; Cold for march. Jo no br t hay from Doct r Coneys. ye Storm Contin s . I was at home all Day.
1785-04-06,B Clear. mr Ballard & I & Daughter Town went to m r Westons & mr Pollards at Evening.
1785-04-06,Clear & pleas t . I went to mr Westons; walkd.
1785-04-17,"B Clear & ples t . mr Pollard, Isaac Savage & Polly here. Enformd y t Jon o Wimans wife Deceasd Last Eving."
1785-05-02,"Clear & Pleas t . Biah Town, Betsy, mrs Stackpole & Sally Dind here. Betsy Thommas here Afternoon. Jon o & Carp t Winslow here & Supt. Lucy & I went to Col o Norths with mr s Stp l . mrs Comings & mrs Suole there."
1785-05-02,"Clear morn, raind a little after n . I finishd making Soap. was at home all Day. Polly Savage here."
1785-05-02,"thee ice went out of the river, Backd the water up to the Lower flour of y e Grist mill. y e Jamm remoovd about Six O clok. Theop s & Cyrus Tendid Saw mill till three in morn."
1785-05-04,"Clear, windy. Cap ts Howard & Smith Came up to mr Pollards Eddy. I was at home all Day. mr Blackman & Sister here from y e Westward."
1785-05-05,"Birth. Welmans child. X Dat r . XX Calld about Day to go to mr Wellmans. Eph m Cowen went with us as far as ye plain beyond Esqr Howards Bridge, where we mett a mesage Enforming ye woman was got Safe to Bed. turnd about & Returnd home. I had two falls; one on my way there, ye other on my Return. Ye Storm Continues yet; the snow is Levil with y e top of the lower Pain of glass of our north window. I travild Some Rods in the snow where it was almost as high as my waist. Stopt at mr Suels & warmd. Cowen got Col o Howards Sleigh & brought me from mr Suels. Got home at 8 o Clock."
