date,title,text,url
2009-01-01,January 2009,,https://dooce.com/2009/01/01/january-2009/
2009-01-05,16 weeks and some,"This photo was taken last Tuesday to commemorate the 16 week mark (tomorrow marks 17 weeks for me), and since this photo was taken I’ve actually lost a couple of pounds, probably because I’m no longer retaining water like a bathtub. The debilitating nausea that made those first three months so miserable lasted right up until Christmas night when I spent a few hours in my mother’s bathroom throwing up roasted ham and pecan pie, a combination that tasted just as bad coming up as it did going down. Although, here’s the thing about stuff that comes back up: yes, you get a hint of what it tasted like originally, but the overwhelming flavor of it is vomit, a pretty standard combination of chunks, stomach acid, and awfulness that need only be brought up in a sentence on a blog to conjure the scent of what your elementary school bus smelled like FOR MONTHS after that seven-year-old kid leaned into the aisle and dumped a stomach full of meatballs.

I don’t know exactly when, but a few days after Christmas all that sickness just stopped. All the nausea, all the bloating, all the heartburn, I haven’t experienced any of it for over a week. And this is something to be celebrated, yes, except that the pregnancy now seems rather abstract. Like, oh wait a minute, I’m pregnant . It just doesn’t seem real. In fact, it feels like I’m cheating. There are moments when I feel so good that I find myself involuntarily thinking, ppshaw! THIS IS SO EASY. I could do this a hundred times! And that delusional line of reasoning lasts right up until I sit down on the toilet to go pee and nothing comes out. I go from a high of a hundred to OH MY GOD I’LL NEVER PEE AGAIN.

For anyone who has never been pregnant that line of thinking is not far from OH MY GOD I’M GOING TO DIE ON THIS TOILET.

Already the baby is positioned on top of or near my bladder in such a way that the majority of my day is now spent eking. There is actual eking going on. Jon likes to call it Grandma Peeing. A drip here, a drip there, and then if you’re lucky you’ll get one more drip maybe three minutes later. Five drips tops. I’m in the bathroom for so long in such deafening silence that at first Jon was like, what the hell are you doing in there? Which is not the right thing to say to a pregnant woman because it makes it sound like I’m trying to be sneaky. Yes, I’m in the bathroom devising a plan TO KILL HIM IN HIS SLEEP. Or maybe he thinks I’ve got a secret stash of Twinkies in there under the sink. OH FOR CRYING OUT LOUD, I CANNOT PEE. I’ll certainly get to the devious scheming if you’ll kindly leave me alone with my bladder who is now demanding ransom.",https://dooce.com/2009/01/05/16-weeks-and-some/
2009-01-05,Assorted bowls,"Over the weekend we hit Ikea for the first time in many, many months and picked up a few accessories for the annual beginning-of-the-year cleaning. I picked up these bowls (seen here and here ) to help organize my ever maddening collection of jewelry, and I love how the different colors set off my rings and earrings. They aren’t sold online which means you have to pick them up in person, and I know how dangerous that can be. Which is why we don’t set foot in Ikea unless we have saved up and are prepared to hand over our souls to pay for all the crap we plan to take home.",https://dooce.com/2009/01/05/assorted-bowls/
2009-01-05,Corralling her flock,"Whenever we let the dogs off leash Coco spends the entire walk herding Chuck. And this is great for Coco because she’s beat by the time we get home, but it’s not so great for Chuck who would like to be left alone to mark every vertical object, thank you very much.",https://dooce.com/2009/01/05/corralling-her-flock/
2009-01-05,Defense mechanism,"I have no idea what kind of tree this is, only that I’m going to go ahead and trust that it is not in a good mood. One of my resolutions this year is to take the camera with me every time I take the dogs on a walk and find at least one interesting thing, and I thought this porcupine-like tree would start things off properly.",https://dooce.com/2009/01/05/defense-mechanism/
2009-01-06,Assorted plants,"Yet again I couldn’t leave Ikea without adopting a new plant, in this case two small succulents that came with directions. Meaning I’ll be less likely to kill these like I have many of the others I’ve brought home. I can’t find the plants or the pots on Ikea’s website, but these pots are very similar to the ones I featured on my recent gift guide and are even less expensive. Here’s hoping these last more than the average three months.",https://dooce.com/2009/01/06/assorted-plants/
2009-01-06,CHUUUUUUCCCCCCKKK!,"Chuck is terrible about coming when called, and the whole calm-assertive thing does not work with this command. If I don’t dig down deep inside my throat and scream his name like an ogre who is about to sever his head with a rusty axe, he will completely ignore me, and even then I sometimes have to follow his name with a hearty, menacing, “GRRRRRRR!” Doesn’t make me look crazy at all, just standing there in the middle of an open field screaming like a troll at nothing.",https://dooce.com/2009/01/06/chuuuuuucccccckkk/
2009-01-06,I think it’s called an Armstrong,Would you just look at this adorable thing I stumbled upon while walking the dogs. All it needs is a thick beard and I’d take it home with me.,https://dooce.com/2009/01/06/i-think-its-called-an-armstrong/
2009-01-07,Assorted white vases,"These are perhaps my favorite find at Ikea, three simple white vases that I can shuffle through the house and match to every room’s decor. I love the simplicity and elegant sparseness of them, and right now they’re keeping these vintage antelope company on the mantel above the fireplace.",https://dooce.com/2009/01/07/assorted-white-vases/
2009-01-07,"For better, for worse","I wanted to post this episode of Momversation and open it up for discussion here because it’s not usual for me to have such a different opinion than that of the other panelists, and in this case it’s not so much of a different opinion than it is a different experience. What’s more difficult, motherhood or marriage? And when I thought about this question it was pretty clear cut for me. I mean, six months into parenthood I checked myself into a mental hospital. That’s a pretty good indication that the software was not compatible with my operating system.

Whereas my marriage has caused its fair share of wrinkles, but it hasn’t ever made me consider checking out of life.

In the original videos that I submitted to this conversation I go into my reasoning a bit more, but the constraints of the Momversation platform sort of make it impossible to include all the footage, and this is perhaps my only complaint about this project. Sometimes a key point or explanation is edited out or sentences are cut in half, and what I originally hoped to get across is compromised. In this instance I wish they had left in the part where I talk about how much easier motherhood has gotten for me, how the instincts I thought would kick in immediately took their damn sweet time and I had no idea what I was doing for about a year. Those instincts finally did settle in, and when I look back at those first few months the memories have the same tone and color as the memory of being dropped into a pool not knowing how to swim.

I think a lot of it has to do with the fact that I really had no experience with babies, whereas before I got married I dated a wide variety of men, some hairy, some bald, many of them gay. I’d lived with men before, had shared my stuff, had compromised my tastes and time to make things work, and so I understood what kind of energy it requires to make a relationship last. And when I started dating Jon I knew that he was the person with whom I could make it work, with whom I wanted to make it work.

This does not mean my marriage is easy by any means, and in the original footage I talk about the many years of therapy we have been in personally and together as a couple. Our therapist has been paid a lot of money to teach us to tell each other, hey, stop treating me this way, you’re not meeting my needs, I feel this way when you act like that. And yes, my nose scrunches up like that often when we have those types of discussions. And the argument usually ends with Jon going OH MY GOD I’M MARRIED TO YOUR GRANNY.

And while motherhood has become so much more natural to me there is still so much uncharted territory ahead, and I find that each age is so different than the one that preceded it that sometimes, although infrequently, it feels like we’re starting from the beginning all over again. Sure, there are similar surprises in marriage, but right now almost eight years into our relationship I feel like what we share is the rock I use to stabilize myself when being jarred by everything else around me.

I’m curious about your experiences. Do you find one is easier than the other? (And since some of us aren’t allowed to marry the ones we love let’s extend the discussion to relationships in general.)",https://dooce.com/2009/01/07/for-better-for-worse/
2009-01-07,Pippy,"Finally a hairstyle she doesn’t resist. She’s been wearing her hair down around her face for so long that when the kids at school saw it pulled back like this they didn’t know how to react, and some could only muster a, “WHOA.” One day they will understand the magnitude of this victory. One day.",https://dooce.com/2009/01/07/pippy/
2009-01-07,Someone smelled a stinky!,I’m just going to stop whatever I’m doing and pull up this photo whenever I need to be reminded about the true meaning of life.,https://dooce.com/2009/01/07/someone-smelled-a-stinky/
2009-01-08,Face off,Here Chuck has had just about enough of being herded and is giving Coco a subtle hint.,https://dooce.com/2009/01/08/face-off/
2009-01-08,Hanging near the 18th hole,This tree probably goes unnoticed most of the year as golfers concentrate on their swing instead of the stunning foliage overhead. Whereas I come along and am forced to notice most trees along the path because Chuck has lifted his leg and claimed them as his own.,https://dooce.com/2009/01/08/hanging-near-the-18th-hole/
2009-01-08,I’m thinking the title may be a little too subtle,"Internet, meet my baby:

This is the memoir I wrote about my pregnancy with Leta and the subsequent postpartum depression that landed me in the hospital, all wrapped up and tied together in a handy little book that you can take with you to the toilet. Your grandpa is going to love it.

It comes out on March 24th, but you can pre-order it at Amazon . Jon and I designed and photographed the cover together using a framed cross stitch lovingly executed by Julie Jackson of Subversive Cross Stitch and Kitty Wigs fame. My personal opinion is that the only way the book could have turned out any better was if it came with a free sample of Prozac, a week’s worth of babysitting, and a back rub from Clive Owen who would be required to administer it while nude. Only.

Also, I’m going on a book reading and signing tour, and since I will be over six months pregnant at the time you know it’s going to be one big party. Me and my swollen ankles back at the hotel swigging prune juice and channel surfing, hoping the local CBS affiliate is airing an episode of 48 Hours Mystery that I haven’t seen already.

I will have much more to say about the book and the experience I had writing it as the release date draws near, but in the meantime I wanted to publish the dates and venues for the book tour so that anyone who needs time to plan has some. A bit of fair warning, though: I take no responsibility for any emotional damage caused by the sight of my bloated face. I say that because I met one of my dear friends when I was six months pregnant with Leta, a friend who had no idea what I looked like when I was not pregnant, and when I saw her for the first time after giving birth she fell over, got back up and said, “Um, your face isn’t fat! How did you do that?!” How? HOW? I survived the brutal initiation ritual into motherhood otherwise known as CROWNING and EPISIOTOMY. AND THAT WAS ONLY THE BEGINNING. She didn’t have to take birth control for years .

NEW YORK, NY Tuesday, March 24 7:00 PM EST BARNES & NOBLE 97 Warren Street (at Greenwich) New York, NY 10007

CHICAGO, IL Thursday, March 26 7:30 PM CST BORDERS 1500 16th Street, Suite D Oak Brook, IL 60523

PORTLAND, OR Monday, March 30 7:30 PM PST POWELL’S 1005 W. Burnside Avenue Portland, OR

SEATTLE, WA Tuesday, March 31 7:00 PM PST THIRD PLACE BOOKS 17171 Bothell Way NE Lake Forest Park, WA 98155

SAN FRANCISCO, CA Wednesday, April 1 7:30 PM PST BOOKS INC. 301 Castro Street Mountain View, CA 94041

LOS ANGELES, CA Thursday, April 2 7:00 PM PST BOOK SOUP 8818 Sunset Blvd West Hollywood, CA 90069

DENVER, CO Monday, April 6 7:30 PM MST TATTERED COVER 9315 Dorchester Street Highlands Ranch, CO 80129

AUSTIN, TX Wednesday, April 8 BOOKPEOPLE 603 North Lamar Austin, TX 78703

SALT LAKE CITY, UT Wednesday, April 15 7:00 PM KING’S ENGLISH BOOKSTORE 1511 South 1500 East Salt Lake City, UT 84105",https://dooce.com/2009/01/08/im-thinking-the-title-may-be-a-little-too-subtle/
2009-01-08,Large “feathers” handbag,"A little over two years ago I bought a sturdy bag from Brooklyn Industries that I used for well over a year, and since then I’ve been waiting for them to come out with one whose design I liked just as much. This bag was a Christmas present to myself, and I jumped when I first saw it because it’s one that can do double duty as a diaper bag. It’s incredibly spacious and has tons of pockets, and I made a commitment to myself that I wouldn’t do what I did last time which was use the diaper bag that they sent home with me from the hospital, and it dissolved into pieces within a week of use. I know this will be one diaper bag of many, but I think it’s a good start.",https://dooce.com/2009/01/08/large-feathers-handbag/
2009-01-09,Just inside the front door,"This is the winter version of this portrait . Yes, Leta’s boots are just rain boots, and they do a terrible job of protecting her feet from the freezing snow. But that’s just it, she’s never walking around in the freezing snow. She can’t stand it, and I don’t think there’s a bribe magnificent enough to convince her to play in the snow. Maybe I did give birth to her after all.",https://dooce.com/2009/01/09/just-inside-the-front-door/
2009-01-09,Secretary,"My nesting instinct has hit us all like a brick to the head, and Jon and I have spent the last three days cleaning out the office. I found a box of office supplies from my web design days in Los Angeles and forgot that I had kept my name plate. I dusted it off and set it next to my monitor, but not without first seeing just how well it fit Chuck.",https://dooce.com/2009/01/09/secretary/
